,0
0,Marin Light Rail
1,Exchange Place
2,McGinley Square
3,Grove St PATH
4,Jersey & 6th St
5,Liberty Light Rail
6,Christ Hospital
7,Van Vorst Park
8,Newport PATH
9,Warren St
10,Hamilton Park
11,Columbus Drive
12,Sip Ave
13,Leonard Gordon Park
14,Riverview Park
15,Newark Ave
16,Morris Canal
17,Pershing Field
18,Jersey & 3rd
19,Dixon Mills
20,Baldwin at Montgomery
21,Brunswick & 6th
22,Monmouth and 6th
23,Lincoln Park
24,Garfield Ave Station
25,Essex Light Rail
26,Hilltop
27,Manila & 1st
28,Astor Place
29,Brunswick St
30,Newport Pkwy
31,Paulus Hook
32,City Hall
33,Oakland Ave
34,JC Medical Center
35,Union St
36,5 Corners Library
37,Dey St
38,West Side Light Rail
39,Danforth Light Rail
40,North St
41,Communipaw & Berry Lane
42,Heights Elevator
43,Central Ave
44,Lafayette Park
45,Columbia Park
46,NJCU
47,MLK Light Rail
48,Bethune Center
49,Bayside Park
50,York St
51,Harborside
52,Washington St
53,Journal Square
54,Montgomery St
55,Glenwood Ave
56,Fairmount Ave
57,Bergen Ave
58,Grand St
59,Jackson Square
