,startstationname,endstationname,2017_count,2018_count,change
736,Harborside,Newport PATH,426,2582,2156
1459,Newport PATH,Harborside,447,2173,1726
158,Brunswick & 6th,Grove St PATH,2885,4265,1380
1557,Oakland Ave,Journal Square,116,1362,1246
993,Journal Square,Oakland Ave,111,1188,1077
718,Harborside,Exchange Place,308,1302,994
1053,Leonard Gordon Park,Journal Square,187,1176,989
984,Journal Square,Leonard Gordon Park,93,989,896
1907,Washington St,Newport PATH,195,1041,846
1228,Marin Light Rail,Grove St PATH,2412,3216,804
678,Hamilton Park,Harborside,177,969,792
935,Jersey & 6th St,Grove St PATH,3403,4135,732
644,Grove St PATH,Marin Light Rail,2354,3081,727
995,Journal Square,Pershing Field,41,763,722
721,Harborside,Hamilton Park,122,820,698
973,Journal Square,Dey St,151,842,691
1489,Newport PATH,Washington St,161,840,679
556,Exchange Place,Harborside,181,850,669
1888,Washington St,Exchange Place,115,750,635
1645,Pershing Field,Journal Square,43,673,630
617,Grove St PATH,Brunswick & 6th,2414,3029,615
1508,Newport Pkwy,Harborside,142,751,609
1524,Newport Pkwy,Newport PATH,1261,1868,607
1943,York St,Exchange Place,127,710,583
1707,Sip Ave,Astor Place,1397,1964,567
