station,1,2,3,4,5,6,7,8,9,10,11,12
5 Corners Library,69.0,112.0,106.0,178.0,408.0,477.0,501.0,504.0,519.0,464.0,230.0,209.0
Astor Place,307.0,352.0,352.0,417.0,499.0,552.0,475.0,633.0,606.0,681.0,523.0,447.0
Baldwin at Montgomery,351.0,352.0,446.0,535.0,740.0,880.0,884.0,983.0,792.0,592.0,484.0,494.0
Bayside Park,7.0,8.0,12.0,38.0,,,,,,,,
Bergen Ave,,,,90.0,549.0,692.0,630.0,705.0,607.0,617.0,363.0,268.0
Bethune Center,3.0,12.0,10.0,23.0,,,,,,,,
Brunswick & 6th,612.0,793.0,921.0,995.0,1436.0,1682.0,1856.0,1881.0,1508.0,1657.0,1225.0,982.0
Brunswick St,473.0,648.0,699.0,1015.0,1395.0,1641.0,1559.0,1552.0,1575.0,1684.0,1074.0,885.0
Christ Hospital,118.0,146.0,246.0,345.0,380.0,394.0,450.0,584.0,548.0,434.0,217.0,193.0
City Hall,657.0,809.0,945.0,1227.0,1911.0,2241.0,2167.0,2256.0,1806.0,1888.0,1336.0,1055.0
Columbia Park,11.0,13.0,7.0,5.0,,,,,,,,
Columbus Drive,528.0,608.0,694.0,827.0,1475.0,1770.0,1751.0,1882.0,1404.0,1517.0,991.0,834.0
Communipaw & Berry Lane,47.0,50.0,55.0,146.0,326.0,454.0,490.0,380.0,289.0,298.0,183.0,142.0
Danforth Light Rail,3.0,10.0,9.0,13.0,,,,,,,,
Dey St,92.0,96.0,131.0,178.0,255.0,381.0,405.0,328.0,285.0,340.0,166.0,128.0
Dixon Mills,440.0,583.0,633.0,861.0,974.0,1190.0,1246.0,1292.0,1108.0,1084.0,840.0,744.0
Essex Light Rail,497.0,543.0,639.0,927.0,1512.0,1655.0,1541.0,1723.0,1525.0,1497.0,838.0,650.0
Exchange Place,1670.0,1995.0,2064.0,2760.0,4158.0,4832.0,5006.0,5717.0,4902.0,5142.0,2799.0,2030.0
