,station,avg trips
0,Grove St PATH,7629.5
1,Exchange Place,3589.5833333333335
2,Hamilton Park,3377.3333333333335
3,Sip Ave,2874.5
4,Newport PATH,2631.0833333333335
5,Harborside,1978.75
6,Marin Light Rail,1707.3333333333333
7,Newport Pkwy,1678.6666666666667
8,Morris Canal,1625.0833333333333
9,Newark Ave,1587.0833333333333
10,Warren St,1540.9166666666667
11,City Hall,1524.8333333333333
12,Van Vorst Park,1423.6666666666667
13,Paulus Hook,1412.0
14,Brunswick & 6th,1295.6666666666667
15,Jersey & 3rd,1270.5
16,Washington St,1226.9166666666667
17,Liberty Light Rail,1206.9166666666667
18,Columbus Drive,1190.0833333333333
19,Jersey & 6th St,1189.1666666666667
20,Brunswick St,1183.3333333333333
21,Essex Light Rail,1128.9166666666667
22,Manila & 1st,1116.9166666666667
23,Monmouth and 6th,969.8333333333334
24,Journal Square,926.5833333333334
25,Grand St,923.2222222222222
26,Dixon Mills,916.25
27,JC Medical Center,865.1666666666666
28,McGinley Square,832.25
29,Oakland Ave,786.0833333333334
30,Pershing Field,712.9166666666666
31,Baldwin at Montgomery,627.75
32,Montgomery St,560.3333333333334
33,York St,528.4166666666666
34,Bergen Ave,502.3333333333333
35,Fairmount Ave,495.22222222222223
36,Astor Place,487.0
37,Lincoln Park,482.6666666666667
38,Hilltop,456.4166666666667
39,Leonard Gordon Park,428.3333333333333
40,Heights Elevator,416.5833333333333
41,Christ Hospital,337.9166666666667
42,Lafayette Park,329.75
43,Riverview Park,317.3333333333333
44,5 Corners Library,314.75
45,Communipaw & Berry Lane,238.33333333333334
46,Dey St,232.08333333333334
47,Glenwood Ave,219.77777777777777
48,Union St,192.91666666666666
49,Jackson Square,123.16666666666667
50,Garfield Ave Station,81.5
51,West Side Light Rail,34.5
52,NJCU,25.0
53,MLK Light Rail,19.75
54,Bayside Park,16.25
55,Bethune Center,12.0
56,Columbia Park,9.0
57,Danforth Light Rail,8.75
