,startstationname,endstationname,2017_count,2018_count,change
676,Hamilton Park,Grove St PATH,7842,7874,32
630,Grove St PATH,Hamilton Park,5331,5871,540
1360,Morris Canal,Exchange Place,5525,4604,-921
158,Brunswick & 6th,Grove St PATH,2885,4265,1380
935,Jersey & 6th St,Grove St PATH,3403,4135,732
201,Brunswick St,Grove St PATH,3857,3989,132
572,Exchange Place,Morris Canal,4172,3319,-853
464,Dixon Mills,Grove St PATH,3081,3280,199
1228,Marin Light Rail,Grove St PATH,2412,3216,804
1802,Van Vorst Park,Grove St PATH,3321,3177,-144
1320,Monmouth and 6th,Grove St PATH,2860,3137,277
644,Grove St PATH,Marin Light Rail,2354,3081,727
1302,McGinley Square,Sip Ave,3209,3032,-177
617,Grove St PATH,Brunswick & 6th,2414,3029,615
625,Grove St PATH,Dixon Mills,2792,3023,231
618,Grove St PATH,Brunswick St,2662,2883,221
646,Grove St PATH,Monmouth and 6th,2328,2717,389
1741,Sip Ave,McGinley Square,2797,2713,-84
736,Harborside,Newport PATH,426,2582,2156
1458,Newport PATH,Hamilton Park,2413,2557,144
637,Grove St PATH,Jersey & 6th St,1969,2490,521
1459,Newport PATH,Harborside,447,2173,1726
658,Grove St PATH,Van Vorst Park,2530,2172,-358
695,Hamilton Park,Newport PATH,2387,2147,-240
1707,Sip Ave,Astor Place,1397,1964,567
